,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
22,905.0,971.0,913.0,978.0,"(47.108248, 132.65792, 55.0)","(45.623402, 126.25, 136.0)","[(47.108248, 132.65792, 55.0), (47.2318, 132.048, 5022.0), (47.132, 131.6402, 7087.0), (46.8899, 130.6654, 7803.0), (46.3728, 128.7653, 7263.4), (45.6746, 126.4142, 3658.0), (45.623402, 126.25, 136.0)]","[263.62502926912435, 562.5384482829347, 613.0492806625832, 597.8268380276206, 502.34060695376456, 218.64963057491678]"
23,905.0,992.0,932.0,1023.0,"(30.558257, 103.945966, 490.0)","(28.189199, 113.220001, 66.0)","[(30.558257, 103.945966, 490.0), (30.9077, 104.2523, 4778.0), (30.8481, 105.3878, 8077.0), (30.9509, 106.011, 8870.0), (30.6563, 106.6441, 8870.0), (30.2692, 107.6821, 8068.888888888889), (28.0943, 113.0091, 2073.0), (28.189199, 113.220001, 66.0)]","[352.05823111877186, 830.5996253625945, 974.0009185871744, 960.3052894589841, 917.1595820093913, 647.2751256597608, 194.96130876600182]"
24,905.0,1000.0,922.0,1009.0,"(23.392401, 113.299004, 8.0)","(30.23609, 120.428865, 7.0)","[(23.392401, 113.299004, 8.0), (23.6371, 114.2326, 5662.0), (24.1104, 114.7067, 8108.0), (25.4373, 115.6118, 8526.888888888889), (27.848, 117.4491, 8091.545454545454), (29.0232, 118.8941, 4199.272727272727), (30.23609, 120.428865, 7.0)]","[468.3125108185428, 1002.6560698002207, 1135.056786886302, 1189.4805856888806, 956.9605040564766, 368.19314627221985]"
25,905.0,1001.0,907.0,1021.0,"(35.052918, 118.411828, 61.0)","(43.996201, 125.684998, 208.0)","[(35.052918, 118.411828, 61.0), (37.3443, 120.0764, 4142.777777777777), (39.6296, 121.8554, 8160.916666666667), (40.7292, 123.775, 8870.0), (42.7794, 124.952, 8033.8), (43.9962, 125.6854, 4270.9), (43.996201, 125.684998, 208.0)]","[346.24119713068785, 850.7675578564143, 1038.0253564359543, 919.3290198148461, 669.4276832515064, 283.59765914688836]"
26,905.0,1002.0,959.0,1060.0,"(25.110313, 102.936743, 2093.0)","(22.006399, 113.375999, 0.0)","[(25.110313, 102.936743, 2093.0), (24.7737, 103.08, 5837.0), (24.2554, 103.9073, 8009.0), (23.8566, 105.7621, 8108.0), (23.4187, 107.7278, 8108.0), (22.9922, 109.5329, 8108.0), (22.5899, 113.3396, 2598.0), (22.006399, 113.375999, 0.0)]","[347.38419011735954, 801.5930959750339, 925.1346565449398, 919.4264656275185, 874.5763941334932, 701.6997549201594, 275.62407572691905]"
27,905.0,1004.0,899.0,998.0,"(19.9349, 110.459, 22.0)","(28.189199, 113.220001, 66.0)","[(19.9349, 110.459, 22.0), (21.3229, 110.8986, 3778.4615384615386), (22.082, 111.1427, 7234.923076923077), (23.3071, 110.1824, 7809.923076923077), (25.0861, 111.2562, 7156.0), (28.096, 113.0459, 1859.0), (28.189199, 113.220001, 66.0)]","[302.9847942647261, 745.0366489595426, 915.3462347436403, 921.7905198375547, 740.8736970925777, 292.3775573038468]"
28,905.0,1006.0,880.0,991.0,"(28.864815, 115.90271, 43.0)","(26.541466, 106.803331, 1127.0)","[(28.864815, 115.90271, 43.0), (29.0496, 115.9355, 2581.0), (28.7203, 115.6553, 7070.0), (28.2128, 113.722, 7193.0), (28.1506, 112.0888, 7193.0), (27.171, 108.7205, 7177.526315789473), (26.8224, 107.6501, 4302.263157894737), (26.541466, 106.803331, 1127.0)]","[274.91552222301914, 624.4363720381587, 748.0972574990705, 789.99887984533, 642.0880888322386, 450.6514676325203, 199.9858509616807]"
29,905.0,1007.0,901.0,1003.0,"(30.774798, 114.213723, 37.0)","(22.006399, 113.375999, 0.0)","[(30.774798, 114.213723, 37.0), (30.8405, 113.9797, 3277.0), (29.0619, 113.7452, 8108.0), (28.1508, 113.7614, 8412.0), (27.2737, 113.7766, 8412.0), (25.8993, 113.9354, 8200.75), (23.1266, 113.2298, 3597.0), (22.006399, 113.375999, 0.0)]","[247.89563423273023, 632.4516822091451, 788.9755281830164, 820.757019751315, 838.4354744361813, 715.2821946090236, 293.1842597175559]"
30,905.0,1009.0,895.0,1025.0,"(22.639299, 113.810997, -1.0)","(31.198104, 121.33426, 2.0)","[(22.639299, 113.810997, -1.0), (22.9781, 114.277, 4625.0), (25.0738, 115.9787, 10424.0), (26.5368, 117.9803, 10698.0), (27.2836, 119.607, 10698.0), (28.6666, 120.7194, 10142.0), (30.0267, 121.0098, 5013.769230769231), (31.198104, 121.33426, 2.0)]","[272.1048093053035, 654.8527089191464, 777.0747272832307, 992.96278, 747.4841333635051, 617.9386904172814, 269.92757497007284]"
31,905.0,1014.0,894.0,1001.0,"(26.72208, 112.617958, 110.0)","(25.110313, 102.936743, 2093.0)","[(26.72208, 112.617958, 110.0), (27.0631, 110.884, 6468.2307692307695), (26.5154, 108.4456, 7003.076923076923), (26.1551, 106.9462, 7349.153846153846), (26.1846, 104.5042, 7102.0), (25.6383, 103.5204, 4351.0), (25.110313, 102.936743, 2093.0)]","[371.6490236728682, 749.8245864990196, 760.5741803985449, 766.4743334411413, 671.2434386132052, 287.1677227444573]"
