,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
26,605.0,681.0,615.0,690.0,"(23.392401, 113.299004, 8.0)","(30.774798, 114.213723, 37.0)","[(23.392401, 113.299004, 8.0), (25.0226, 113.4894, 3695.294117647059), (26.2616, 113.6376, 7082.588235294118), (27.6165, 113.4123, 7506.0), (28.8337, 113.5047, 7498.0), (29.5822, 113.7713, 4192.923076923077), (30.774798, 114.213723, 37.0)]","[407.35366991339157, 1000.4558138879502, 1210.6654292697315, 1197.8491087013008, 982.8482853912907, 402.5624619851626]"
27,605.0,683.0,627.0,696.0,"(24.54400063, 118.1279984, 12.0)","(31.198104, 121.33426, 2.0)","[(24.54400063, 118.1279984, 12.0), (25.3731, 118.9542, 7498.0), (26.3469, 119.7308, 9182.0), (27.2916, 120.3335, 9464.0), (28.3392, 120.6873, 9327.0), (29.6073, 120.9143, 5696.4), (31.198104, 121.33426, 2.0)]","[547.6968753247029, 1151.3242600756278, 1175.5959905813468, 1100.670213802823, 936.0252980282885, 407.32369005588754]"
28,605.0,683.0,615.0,691.0,"(24.54400063, 118.1279984, 12.0)","(31.198104, 121.33426, 2.0)","[(24.54400063, 118.1279984, 12.0), (24.7707, 118.4459, 3315.0), (25.2407, 118.8618, 6226.0), (26.761, 119.9278, 6888.0), (29.1797, 120.8294, 6134.625), (30.2643, 121.0992, 3121.125), (31.198104, 121.33426, 2.0)]","[367.7359550626082, 816.0985098983016, 938.0216607746744, 892.5462920002209, 686.8009748963418, 283.91378883510197]"
29,605.0,686.0,608.0,687.0,"(24.54400063, 118.1279984, 12.0)","(31.1045, 118.66687, 16.0)","[(24.54400063, 118.1279984, 12.0), (24.9092, 118.148, 3825.0), (25.5099, 118.0886, 7186.0), (26.2578, 118.0137, 7201.0), (27.236, 117.9533, 7034.6), (29.204, 117.6338, 5365.0), (31.1045, 118.66687, 16.0)]","[310.29443165652367, 727.1641544291178, 822.4217155151631, 801.1695335698935, 794.3713992841815, 398.753858456857]"
30,605.0,688.0,628.0,710.0,"(34.447102, 108.751999, 486.0)","(36.857201, 117.216003, 22.0)","[(34.447102, 108.751999, 486.0), (34.3007, 108.7488, 6309.0), (34.3007, 108.7488, 6309.0), (34.9121, 111.2106, 6888.0), (36.2214, 115.1023, 6115.529411764706), (36.6036, 116.3551, 3411.8823529411766), (36.857201, 117.216003, 22.0)]","[432.8211765525637, 865.6423531051274, 876.7183557952768, 772.0996980181299, 558.8642105386657, 230.6616917632489]"
31,605.0,691.0,600.0,678.0,"(30.774798, 114.213723, 37.0)","(24.54400063, 118.1279984, 12.0)","[(30.774798, 114.213723, 37.0), (30.7476, 114.4291, 2537.5), (30.6418, 114.9403, 6081.0), (28.3859, 115.8492, 6888.0), (25.9166, 117.8579, 6073.0), (24.8995, 117.9835, 2987.0), (24.54400063, 118.1279984, 12.0)]","[270.07512518397465, 653.050507616988, 778.4952378936975, 763.7370343317317, 602.8726155063042, 234.6554366352567]"
32,605.0,699.0,617.0,710.0,"(25.110313, 102.936743, 2093.0)","(28.189199, 113.220001, 66.0)","[(25.110313, 102.936743, 2093.0), (24.9359, 102.8161, 3985.0), (25.2474, 103.2579, 7239.0), (25.9522, 104.3268, 7498.0), (26.4382, 106.3257, 7498.0), (27.261, 109.374, 7048.454545454545), (27.9616, 112.8802, 1669.0), (28.189199, 113.220001, 66.0)]","[352.9575639091776, 813.0959587436553, 942.4521339983278, 922.9757624985172, 809.8134242212153, 669.4425220134665, 300.29112112691814]"
33,605.0,700.0,592.0,694.0,"(28.189199, 113.220001, 66.0)","(30.31252, 104.441284, 438.0)","[(28.189199, 113.220001, 66.0), (28.3074, 112.9603, 4336.0), (28.487, 112.4015, 7178.0), (28.9229, 110.7053, 7178.0), (29.4043, 108.709, 7178.0), (29.748, 107.189, 7178.0), (30.0526, 104.4617, 1775.0), (30.31252, 104.441284, 438.0)]","[243.61651478955417, 590.0933358235868, 685.6796354488662, 671.1316222104681, 656.58360897207, 492.47951136479503, 167.82471018835955]"
34,605.0,704.0,631.0,737.0,"(23.392401, 113.299004, 8.0)","(31.98779, 116.9769, 63.0)","[(23.392401, 113.299004, 8.0), (23.6369, 114.2315, 5471.0), (24.0936, 114.6928, 7224.0), (26.6356, 115.3012, 7498.0), (28.2902, 115.967, 7498.0), (30.399, 116.5956, 7181.318181818182), (31.6198, 116.8962, 3934.5), (31.98779, 116.9769, 63.0)]","[378.36222237885227, 777.786357733068, 774.777513022302, 770.2642459561525, 707.1157767946971, 527.6092150912675, 215.4043065846369]"
35,605.0,713.0,628.0,733.0,"(22.639299, 113.810997, -1.0)","(31.1434, 121.805, 5.0)","[(22.639299, 113.810997, -1.0), (23.3614, 114.0812, 5951.0), (24.657, 115.3839, 10081.0), (26.2411, 117.5828, 10698.0), (27.1994, 119.4209, 10698.0), (28.8057, 120.7343, 10340.0), (30.4657, 121.4347, 4922.6), (31.1434, 121.805, 5.0)]","[412.1465687418595, 887.4511578410177, 953.0383328274432, 979.7590337478389, 905.2649584546147, 690.149698426643, 286.91002999158206]"
36,605.0,720.0,638.0,752.0,"(23.392401, 113.299004, 8.0)","(30.31252, 104.441284, 438.0)","[(23.392401, 113.299004, 8.0), (25.2383, 110.979, 7393.688888888889), (27.4414, 108.268, 8030.133333333333), (28.444, 106.9757, 8316.533333333333), (28.2038, 105.2149, 8412.0), (28.7041, 104.9388, 8283.0), (29.9135, 104.5643, 2301.0), (30.31252, 104.441284, 438.0)]","[447.0858544507525, 909.2606678772307, 931.1396583920329, 942.9306020487786, 948.9230743277097, 721.8557973987175, 246.8984801542317]"
37,605.0,723.0,601.0,722.0,"(25.110313, 102.936743, 2093.0)","(31.98779, 116.9769, 63.0)","[(25.110313, 102.936743, 2093.0), (25.1615, 103.221, 5723.0), (26.0263, 104.4419, 9174.0), (27.1404, 106.2267, 9467.333333333334), (28.4221, 108.7993, 9476.222222222224), (30.2276, 113.3565, 9479.0), (31.3426, 115.7755, 6696.764705882353), (31.98779, 116.9769, 63.0)]","[360.39164556989596, 786.5939394612512, 868.0737897640103, 912.9921687770698, 936.3001067242534, 851.3951549336986, 386.21572111385996]"
38,605.0,725.0,613.0,738.0,"(30.558257, 103.945966, 490.0)","(29.298001, 90.911951, 3570.0)","[(30.558257, 103.945966, 490.0), (30.6369, 104.106, 4930.0), (30.8074, 103.0051, 9075.0), (30.7028, 100.95, 9174.93023255814), (30.3588, 97.8847, 9178.46511627907), (29.867, 94.3331, 9182.0), (29.6389, 92.8932, 6652.476190476191), (29.298001, 90.911951, 3570.0)]","[427.0123602817073, 997.6217974723074, 1106.440156518514, 963.4351569291024, 746.9825934756517, 581.7951108401237, 262.4169549656604]"
39,605.0,727.0,612.0,733.0,"(29.712254, 106.651895, 417.0)","(40.08010101, 116.5849991, 40.0)","[(29.712254, 106.651895, 417.0), (31.6375, 108.0592, 9008.84375), (33.1722, 109.4407, 10039.5), (35.7677, 113.7118, 11201.0), (38.3734, 115.4568, 10211.2), (39.7146, 116.3378, 5275.6), (40.08010101, 116.5849991, 40.0)]","[516.7382774350782, 1033.4765548701564, 1031.7189416816016, 857.6961889699345, 590.5085090380171, 247.79298431460606]"
40,605.0,728.0,618.0,738.0,"(22.639299, 113.810997, -1.0)","(25.110313, 102.936743, 2093.0)","[(22.639299, 113.810997, -1.0), (22.2519, 113.246, 4206.0), (21.6797, 111.9649, 9091.0), (21.6005, 109.567, 9180.0), (22.5844, 108.2929, 9174.0), (23.7824, 106.7841, 9029.0), (24.5865, 103.1342, 5517.0), (25.110313, 102.936743, 2093.0)]","[330.50529571059997, 693.4433540843897, 754.2547840778705, 768.9267481397895, 756.7644621410934, 686.4934763708491, 307.3390366654645]"
41,605.0,733.0,608.0,741.0,"(31.1434, 121.805, 5.0)","(23.392401, 113.299004, 8.0)","[(31.1434, 121.805, 5.0), (28.6389, 118.85, 4619.648648648648), (27.264, 116.4339, 9174.0), (26.5873, 115.6157, 9182.0), (25.7912, 114.8645, 9176.181818181818), (24.7704, 114.1896, 9182.0), (23.2245, 113.3728, 1897.0), (23.392401, 113.299004, 8.0)]","[340.24385552573597, 813.8122493531706, 961.8700265739452, 960.2914652611871, 908.9005247458396, 741.0468384892266, 304.13614625806366]"
42,605.0,737.0,618.0,747.0,"(30.558257, 103.945966, 490.0)","(30.23609, 120.428865, 7.0)","[(30.558257, 103.945966, 490.0), (30.9367, 104.2865, 4968.0), (30.8552, 105.4734, 8054.0), (30.5406, 109.2648, 8872.916666666666), (28.0615, 113.8514, 8870.0), (28.9607, 117.5151, 8156.416666666667), (29.6964, 119.1809, 4231.708333333333), (30.23609, 120.428865, 7.0)]","[343.52841415050983, 830.3375236502272, 998.0018313103693, 1050.6531711676082, 1045.5512042558742, 823.9009383242815, 317.81018342536373]"
43,605.0,739.0,609.0,748.0,"(36.857201, 117.216003, 22.0)","(36.515202, 103.620003, 1948.0)","[(36.857201, 117.216003, 22.0), (35.9551, 113.296, 7414.0), (36.2643, 109.5799, 9034.666666666666), (34.7586, 108.5148, 9174.57142857143), (35.4536, 106.6712, 9182.0), (35.906, 105.4108, 5880.095238095239), (36.515202, 103.620003, 1948.0)]","[480.0708188557156, 964.6013784490486, 976.8563080770608, 867.2589409112546, 659.5644186579764, 284.63122623044944]"
44,605.0,741.0,589.0,721.0,"(34.526497, 113.849165, 146.0)","(22.006399, 113.375999, 0.0)","[(34.526497, 113.849165, 146.0), (33.156, 113.6624, 6865.777777777777), (30.2696, 113.9984, 9060.0), (28.4394, 113.7331, 9784.0), (27.3911, 113.7524, 9784.0), (25.8602, 113.815, 9130.444444444443), (23.0256, 113.1884, 3680.0), (22.006399, 113.375999, 0.0)]","[397.4395243026752, 756.3476235373623, 767.125644535401, 818.0517937511336, 818.4110611177348, 740.0009583570036, 331.42414568968843]"
45,605.0,763.0,593.0,748.0,"(34.526497, 113.849165, 146.0)","(26.68, 100.246002, 2237.0)","[(34.526497, 113.849165, 146.0), (33.9684, 112.3861, 6156.586206896552), (31.9896, 108.7027, 10097.827586206897), (31.5291, 105.4559, 11003.0), (30.2161, 104.1558, 10988.0), (28.789, 103.014, 10142.0), (27.824, 101.9373, 7846.142857142857), (26.68, 100.246002, 2237.0)]","[371.73571403023726, 771.2973308134166, 764.9065465547739, 783.0086723017426, 788.3292295314261, 745.8235230315767, 375.15803603029855]"
46,605.0,771.0,608.0,782.0,"(30.23609, 120.428865, 7.0)","(36.515202, 103.620003, 1948.0)","[(30.23609, 120.428865, 7.0), (32.12, 116.1906, 4740.5), (33.923, 113.6855, 9174.0), (34.5979, 111.3373, 9174.0), (34.5774, 108.757, 9182.0), (35.5791, 106.2883, 9182.0), (36.0174, 105.071, 5918.941176470588), (36.515202, 103.620003, 1948.0)]","[379.56734467742007, 906.912409926366, 1044.5717714581267, 1074.3316509868482, 931.3974373151835, 668.9221998764966, 294.6297073389806]"
